country,year,value,,,,,,,,,,,,,
Canada,2016,0.0 ,,,,,,,,,,,,,
Canada,2017,0.9 ,,,,,,,,,,,,,
Canada,2018,1.2 ,,,,,,,,,,,,,
Canada,2019,-0.2 ,,,,,,,,,,,,,
Canada,2020,4.6 ,,,,,,,,,,,,,
Canada,2021,-3.6 ,,,,,,,,,,,,,
France,2016,0.5 ,,,,,,,,,,,,,
France,2017,1.1 ,,,,,,,,,,,,,
France,2018,0.9 ,,,,,,,,,,,,,
France,2019,0.6 ,,,,,,,,,,,,,
France,2020,-7.1 ,,,,,,,,,,,,,
France,2021,4.2 ,,,,,,,,,,,,,
Germany,2016,1.0 ,,,,,,,,,,,,,
Germany,2017,1.3 ,,,,,,,,,,,,,
Germany,2018,-0.4 ,,,,,,,,,,,,,
Germany,2019,0.1 ,,,,,,,,,,,,,
Germany,2020,-2.9 ,,,,,,,,,,,,,
Germany,2021,2.5 ,,,,,,,,,,,,,
Italy,2016,-0.1 ,,,,,,,,,,,,,
Italy,2017,0.5 ,,,,,,,,,,,,,
Italy,2018,-0.0 ,,,,,,,,,,,,,
Italy,2019,-0.0 ,,,,,,,,,,,,,
Italy,2020,-7.0 ,,,,,,,,,,,,,
Italy,2021,6.2 ,,,,,,,,,,,,,
Japan,2016,-0.2 ,,,,,,,,,,,,,
Japan,2017,0.6 ,,,,,,,,,,,,,
Japan,2018,-1.2 ,,,,,,,,,,,,,
Japan,2019,-1.1 ,,,,,,,,,,,,,
Japan,2020,-4.0 ,,,,,,,,,,,,,
Japan,2021,n/a,,,,,,,,,,,,,
UK,2016,0.7 ,,,,,,,,,,,,,
UK,2017,1.4 ,,,,,,,,,,,,,
UK,2018,0.5 ,,,,,,,,,,,,,
UK,2019,0.5 ,,,,,,,,,,,,,
UK,2020,-10.2 ,,,,,,,,,,,,,
UK,2021,7.9 ,,,,,,,,,,,,,
US,2016,-0.0 ,,,,,,,,,,,,,
US,2017,1.0 ,,,,,,,,,,,,,
US,2018,1.4 ,,,,,,,,,,,,,
US,2019,1.1 ,,,,,,,,,,,,,
US,2020,3.5 ,,,,,,,,,,,,,
US,2021,2.7 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
US,2016,-0.0 ,,,,,,,,,,,,,
US,2017,1.0 ,,,,,,,,,,,,,
US,2018,1.4 ,,,,,,,,,,,,,
US,2019,1.1 ,,,,,,,,,,,,,
US,2020,3.5 ,,,,,,,,,,,,,
US,2021,2.7 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,